Team,Attack,Defence,Variation
Arsenal,0.86,0.28,0.01
Bournemouth,0.41,-0.37,0.03
Burnley,0.21,-0.21,0.07
Chelsea,0.82,0.31,0.01
Crystal Palace,0.14,-0.09,0.02
Everton,0.46,0.14,0.01
Hull,-0.08,-0.81,0.06
Leicester,0.56,0.12,0.01
Liverpool,0.86,0.1,0.01
Man City,1.14,0.26,0.01
Man United,0.71,0.29,0.01
Middlesbrough,-0.01,0.26,0.07
Southampton,0.42,0.14,0.01
Stoke,0.21,0.01,0.01
Sunderland,0.13,-0.17,0.01
Swansea,0.26,-0.12,0.01
Tottenham,0.63,0.19,0.01
Watford,0.15,-0.14,0.03
West Brom,0.17,-0.08,0.01
West Ham,0.35,-0.03,0.01
