ID,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,FTRAVG
1,H,1.4,3.8,8,1.44,4,7,1.35,4,7,1.333,4,8,1.4,3.75,7.5,1.4,3.75,7.5,H
2,D,2.5,3.2,2.6,2.5,3.25,2.6,2.2,3.1,2.8,2.5,3.2,2.5,2.38,3.2,2.63,2.4,3.2,2.6,H
3,A,2.25,3.25,2.875,2.25,3.25,3.25,2.3,3,2.7,2.25,3.2,2.75,2.25,3.3,3,2.2,3.2,2.87,H
4,H,1.25,5,10,1.26,5,10,1.25,4.5,9,1.25,4.5,10,1.22,5,10,1.25,5,9,H
5,A,4,3.4,1.8,4.4,3.4,1.75,3.8,3.1,1.8,4,3.2,1.8,4.33,3.4,1.8,4.33,3.25,1.72,A
6,D,2.5,3.2,2.6,2.4,3.25,2.7,2.3,3,2.7,2.375,3.2,2.6,2.25,3.25,2.75,2.37,3.2,2.62,H
7,D,1.5,3.5,7,1.53,3.5,6.5,1.55,3.5,4.8,1.533,3.5,5.5,1.57,3.4,5.5,1.53,3.4,6,H
8,A,2.6,3.2,2.5,2.65,3.1,2.55,2.5,3,2.5,2.5,3.2,2.5,2.6,3.25,2.6,2.5,3.2,2.5,H
9,A,4,3.4,1.8,4.3,3.45,1.75,4.2,3.2,1.7,4.333,3.6,1.615,4.33,3.4,1.8,4.33,3.25,1.72,A
10,H,5,3.4,1.667,4.9,3.5,1.65,4.4,3.3,1.65,5,3.5,1.571,5,3.6,1.67,5,3.4,1.61,A
11,H,1.53,3.6,6,1.5,3.65,6.65,1.55,3.5,4.8,1.533,3.5,5.5,1.44,3.5,7,1.5,3.5,6,H
12,H,1.3,4.5,9.5,1.32,4.3,10,1.35,4,7,1.333,3.75,9,1.33,4,8.5,1.33,4.2,8,H
13,A,2,3.25,3.4,2.1,3.25,3.25,1.9,3.1,3.5,2.2,3.2,2.8,2,3.25,3.25,2,3.25,3.25,H
14,D,2,3.25,3.4,2.15,3.25,3.2,2.1,3,3.1,2.1,3.2,3,2,3.4,3.5,2.2,3.1,3,H
15,H,2.3,3.25,2.8,2.33,3.25,2.82,2.3,3,2.7,2.2,3.2,2.8,2.4,3.25,2.8,2.3,3.2,2.7,H
16,A,6.5,3.6,1.5,6.5,3.7,1.5,4.8,3.5,1.55,6.5,3.6,1.444,6.5,3.75,1.44,6,3.6,1.5,A
17,A,1.8,3.2,4.33,1.8,3.25,4.4,1.8,3.1,3.8,1.727,3.2,4.333,1.67,3.4,4.5,1.8,3.25,4,H
18,D,1.72,3.4,4.5,1.75,3.4,4.4,1.85,3.1,3.6,1.667,3.4,4.333,1.73,3.5,4.75,1.75,3.25,4.2,H
19,A,2.5,3.3,2.5,2.45,3.25,2.65,2.4,3,2.6,2.6,3.2,2.375,2.5,3.4,2.6,2.4,3.2,2.6,H
20,H,2.25,3.25,2.87,2.27,3.33,2.85,2,3.1,3.2,2.1,3.2,3,2.2,3.2,2.88,2.2,3.2,2.87,H
21,A,4.33,3.5,1.72,4.25,3.33,1.8,4,3.2,1.75,4.5,3.25,1.667,4.75,3.4,1.73,4.2,3.4,1.72,A
22,H,2.2,3.2,3,2.15,3.25,3.1,2.1,3,3.1,2,3.4,3,2.2,3.25,2.8,2.2,3.2,2.87,H
23,D,2,3.25,3.4,1.95,3.3,3.5,1.85,3.2,3.5,2.1,3.2,3,2,3.4,3.5,1.9,3.25,3.5,H
24,A,2.6,3.2,2.5,2.55,3.2,2.55,2.4,3.2,2.4,2.6,3.2,2.375,2.6,3.4,2.5,2.5,3.2,2.5,A
25,H,1.5,3.5,7,1.51,3.75,5.85,1.55,3.5,4.8,1.444,3.75,6,1.44,3.75,6.5,1.44,3.75,6.5,H
26,D,1.83,3.25,4,1.95,3.25,3.7,1.9,3.2,3.4,1.727,3.4,4,1.91,3.25,4,1.83,3.3,3.75,H
27,A,4.5,3.4,1.72,3.8,3.3,1.9,3.5,3.1,1.9,4,3.4,1.73,4,3.25,1.8,4,3.25,1.8,A
28,A,2.2,3.4,2.87,2.25,3.3,2.9,2.1,3.1,3,2,3.2,3.2,2.2,3.25,2.8,2.2,3.2,2.88,H
