Team, LA, RA
Arsenal, 17.39555123,18
Bournemouth, 16.49424637,5
Burnley, 15.70447236,2
Chelsea, 18.20475926,16
Crystal, Palace 16.68532524,9
Everton, 16.8087397,13
Hull, 16.41727389,4
Leicester, City 16.12663055,14
Liverpool, 17.93640431,15
Man City, 18.29309085,19
Man United, 18.14118728,17
Southampton, 17.14949919,12
Stroke City, 16.48397808,10
Sunderland, 16.9170818,6
Swansea City, 16.18224347,11
Tottenham Hotspur, 17.63377218,16
Watford, 16.4425917,8
West Bromwich Albior, 16.46522518,9
West Ham United, 16.53256769,11
