Player,Team,Player Pts,Worth
Courtois,Chelsea,85,£5.9
Lloris,Spurs,70,£5.5
Cech,Arsenal,65,£5.4
de Gea,Man Utd,71,£5.4
Bravo,Man City,58,£5.2
Forster,Southampton,63,£5.1
Pau López,Spurs,0,£5.0
Heaton,Burnley,80,£4.9
Schmeichel,Leicester,47,£4.9
Gomes,Watford,55,£4.9
Stekelenburg,Everton,57,£4.8
Fabianski,Swansea,56,£4.8
Vorm,Spurs,9,£4.8
Ospina,Arsenal,0,£4.7
Begovic,Chelsea,0,£4.7
Robles,Everton,28,£4.7
Mignolet,Liverpool,40,£4.7
Caballero,Man City,6,£4.7
Romero,Man Utd,0,£4.7
Foster,West Brom,65,£4.7
Adrián,West Ham,37,£4.7
Boruc,Bournemouth,61,£4.6
Valdés,Middlesbrough,56,£4.6
Butland,Stoke,0,£4.6
Marshall,Hull,31,£4.5
Karius,Liverpool,32,£4.5
Federici,Bournemouth,8,£4.4
McGregor,Hull,0,£4.4
Hamer,Leicester,0,£4.4
Zieler,Leicester,17,£4.4
Grant,Stoke,63,£4.4
Mika,Sunderland,0,£4.4
Randolph,West Ham,33,£4.4
Speroni,Crystal Palace,0,£4.3
Hennessey,Crystal Palace,25,£4.3
Mandanda,Crystal Palace,19,£4.3
Guzan,Middlesbrough,17,£4.3
McCarthy,Southampton,0,£4.3
Given,Stoke,13,£4.3
Mannone,Sunderland,10,£4.3
Pantilimon,Watford,1,£4.3
Konstantopoulos,Middlesbrough,0,£4.2
Pickford,Sunderland,54,£4.2
Myhill,West Brom,0,£4.2
Allsop,Bournemouth,0,£4.0
Robinson,Burnley,3,£4.0
Hewelt,Everton,0,£4.0
Kuciak,Hull,0,£4.0
Manninger,Liverpool,0,£4.0
Taylor,Southampton,0,£4.0
Lewis,Southampton,0,£4.0
Stryjek,Sunderland,0,£4.0
McGee,Spurs,0,£4.0
Rose,West Brom,0,£4.0
Spiegel,West Ham,0,£4.0
Pope,Burnley,0,£3.9
Jakupovic,Hull,23,£3.9
Nordfeldt,Swansea,0,£3.9
Azpilicueta,Chelsea,97,£6.6
Bellerín,Arsenal,70,£6.5
Alonso,Chelsea,83,£6.5
Cahill,Chelsea,96,£6.4
Koscielny,Arsenal,78,£6.3
Alderweireld,Spurs,47,£6.3
David Luiz,Chelsea,66,£6.2
Walker,Spurs,86,£6.1
Rose,Spurs,76,£6.0
Monreal,Arsenal,56,£5.9
Kompany,Man City,3,£5.9
Otamendi,Man City,48,£5.9
Mustafi,Arsenal,36,£5.8
Clyne,Liverpool,72,£5.8
Kolarov,Man City,53,£5.8
Smalling,Man Utd,23,£5.8
van Dijk,Southampton,72,£5.8
Ivanovic,Chelsea,23,£5.7
Vertonghen,Spurs,66,£5.7
Baines,Everton,72,£5.5
Coleman,Everton,65,£5.5
Valencia,Man Utd,55,£5.4
Bertrand,Southampton,52,£5.4
Fonte,Southampton,58,£5.4
Zouma,Chelsea,0,£5.3
Fuchs,Leicester,52,£5.3
Matip,Liverpool,40,£5.3
Sagna,Man City,27,£5.3
Blind,Man Utd,62,£5.3
Bailly,Man Utd,34,£5.3
Cresswell,West Ham,30,£5.3
Daniels,Bournemouth,88,£5.2
Terry,Chelsea,11,£5.2
Dann,Crystal Palace,39,£5.2
Clichy,Man City,42,£5.2
Shaw,Man Utd,28,£5.2
Rojo,Man Utd,38,£5.2
Cook,Bournemouth,69,£5.1
Reid,West Ham,71,£5.1
Lovren,Liverpool,65,£5.0
Darmian,Man Utd,33,£5.0
van Aanholt,Sunderland,58,£5.0
Brunt,West Brom,49,£5.0
Jenkinson,Arsenal,2,£4.9
Keane,Burnley,51,£4.9
Tomkins,Crystal Palace,33,£4.9
Williams,Everton,61,£4.9
Davies,Hull,34,£4.9
Simpson,Leicester,40,£4.9
Huth,Leicester,40,£4.9
Jones,Man Utd,32,£4.9
Gibson,Middlesbrough,71,£4.9
Martins Indi,Stoke,59,£4.9
Shawcross,Stoke,53,£4.9
McAuley,West Brom,72,£4.9
Mertesacker,Arsenal,0,£4.8
Gabriel,Arsenal,19,£4.8
Ward,Crystal Palace,36,£4.8
Delaney,Crystal Palace,32,£4.8
Jagielka,Everton,33,£4.8
Morgan,Leicester,54,£4.8
Schlupp,Leicester,4,£4.8
Gomez,Liverpool,0,£4.8
Ayala,Middlesbrough,20,£4.8
Cédric,Southampton,41,£4.8
Pied,Southampton,1,£4.8
Holebas,Watford,53,£4.8
Kabasele,Watford,16,£4.8
Dawson,West Brom,38,£4.8
Ogbonna,West Ham,40,£4.8
Gibbs,Arsenal,12,£4.7
Debuchy,Arsenal,1,£4.7
Smith,Bournemouth,53,£4.7
Sakho,Liverpool,0,£4.7
Stones,Man City,28,£4.7
Zabaleta,Man City,27,£4.7
Johnson,Stoke,33,£4.7
Denayer,Sunderland,24,£4.7
Davies,Spurs,12,£4.7
Trippier,Spurs,12,£4.7
Masuaku,West Ham,11,£4.7
Francis,Bournemouth,54,£4.6
Aina,Chelsea,2,£4.6
Funes Mori,Everton,33,£4.6
Klavan,Liverpool,29,£4.6
Barragán,Middlesbrough,52,£4.6
Wimmer,Spurs,2,£4.6
Arbeloa,West Ham,0,£4.6
Mings,Bournemouth,1,£4.5
Lowton,Burnley,38,£4.5
Mee,Burnley,53,£4.5
Fryers,Crystal Palace,9,£4.5
Tosin Adarabioyo,Man City,0,£4.5
Pieters,Stoke,55,£4.5
Mawson,Swansea,27,£4.5
Janmaat,Watford,20,£4.5
Prödl,Watford,49,£4.5
Evans,West Brom,44,£4.5
Ward,Burnley,43,£4.4
Aké,Chelsea,51,£4.4
Kelly,Crystal Palace,25,£4.4
Dawson,Hull,35,£4.4
Odubajo,Hull,0,£4.4
Maguire,Hull,18,£4.4
Moreno,Liverpool,10,£4.4
Chambers,Middlesbrough,45,£4.4
Fabio,Middlesbrough,27,£4.4
Friend,Middlesbrough,39,£4.4
O'Shea,Sunderland,13,£4.4
Jones,Sunderland,12,£4.4
Koné,Sunderland,31,£4.4
Kaboul,Watford,34,£4.4
Nyom,West Brom,40,£4.4
Flanagan,Burnley,8,£4.3
Robertson,Hull,22,£4.3
Chilwell,Leicester,7,£4.3
Bernardo,Middlesbrough,1,£4.3
Martina,Southampton,31,£4.3
Cameron,Stoke,20,£4.3
Bardsley,Stoke,20,£4.3
Manquillo,Sunderland,13,£4.3
Djilobodji,Sunderland,23,£4.3
Naughton,Swansea,26,£4.3
Rangel,Swansea,22,£4.3
van der Hoorn,Swansea,15,£4.3
Carter-Vickers,Spurs,0,£4.3
Cathcart,Watford,5,£4.3
Britos,Watford,29,£4.3
Zuñiga,Watford,32,£4.3
Olsson,West Brom,9,£4.3
Darikwa,Burnley,0,£4.2
Souaré,Crystal Palace,6,£4.2
Hernández,Leicester,3,£4.2
Stewart,Liverpool,4,£4.2
Yoshida,Southampton,9,£4.2
Targett,Southampton,6,£4.2
McNair,Sunderland,12,£4.2
Taylor,Swansea,22,£4.2
Fernández,Swansea,13,£4.2
Collins,West Ham,23,£4.2
Oxford,West Ham,0,£4.2
Byram,West Ham,7,£4.2
Fosu-Mensah,Man Utd,1,£4.1
Nsue,Middlesbrough,10,£4.1
Muniesa,Stoke,23,£4.1
Amat,Swansea,20,£4.1
Galloway,West Brom,9,£4.1
Holding,Arsenal,7,£4.0
Smith,Bournemouth,2,£4.0
Tarkowski,Burnley,6,£4.0
Long,Burnley,0,£4.0
Wynter,Crystal Palace,0,£4.0
Kenny,Everton,0,£4.0
Holgate,Everton,23,£4.0
Clackstone,Hull,0,£4.0
Tymon,Hull,3,£4.0
Bruce,Hull,0,£4.0
Fry,Middlesbrough,0,£4.0
Gardos,Southampton,0,£4.0
Stephens,Southampton,1,£4.0
Josh Robson,Sunderland,0,£4.0
Thomas Robson,Sunderland,0,£4.0
